shortlist_rank,doi,doi_url,title,authors,year,venue,type,publisher,volume,issue,pages,article_number,crossref_cited_by,relevance_score,primary_topic,topics,is_review_title,is_dataset_title,has_abstract,screening_decision,screening_reason,matched_title_categories,exact_normalized_title_doi_count,provenance
11,10.51244/ijrsi.2025.12110008,https://doi.org/10.51244/ijrsi.2025.12110008,Review Paper on Advanced Floating Robotic System for Water Quality Monitoring,Mr.Aviraje Bhosale; Ms.Tejashree Sakhale; Ms.Rahi Jadhav; Mr.Nishant Gaikwad; Dr. A. R. Nichal,2025,International Journal of Research and Scientific Innovation,journal-article,RSIS International,12,11,92-99,,0,23,water_quality_monitoring,"[""robotic_environmental_monitoring"", ""water_quality_monitoring"", ""embedded_environmental_sensing""]",True,False,True,metadata_candidate,robotic_environmental_monitoring;water_quality_monitoring;embedded_environmental_sensing,"[""robot"", ""env"", ""water"", ""sensor"", ""review""]",1,"[{""query_id"": ""Q06"", ""query_rank"": 329, ""api_score"": 20.075481, ""raw_file"": ""raw_crossref\\Q06_robotic_water_quality.json"", ""raw_item_index"": 328}]"
12,10.1007/s10514-011-9219-2,https://doi.org/10.1007/s10514-011-9219-2,Odor source localization using a mobile robot in outdoor airflow environments with a particle filter algorithm,Ji-Gong Li; Qing-Hao Meng; Yang Wang; Ming Zeng,2011,Autonomous Robots,journal-article,Springer Science and Business Media LLC,30,3,281-292,,188,23,gas_olfaction_mapping,"[""robotic_environmental_monitoring"", ""gas_olfaction_mapping"", ""outdoor_navigation_fusion""]",False,False,False,metadata_candidate,robotic_environmental_monitoring;gas_olfaction_mapping;outdoor_navigation_fusion,"[""robot"", ""env"", ""gas"", ""nav"", ""outdoor""]",1,"[{""query_id"": ""Q08"", ""query_rank"": 466, ""api_score"": 21.475792, ""raw_file"": ""raw_crossref\\Q08_outdoor_mapping_fusion.json"", ""raw_item_index"": 465}]"
13,10.1109/icsens.2009.5398498,https://doi.org/10.1109/icsens.2009.5398498,Using local wind information for gas distribution mapping in outdoor environments with a mobile robot,Matteo Reggente; Achim J. Lilienthal,2009,2009 IEEE Sensors,proceedings-article,IEEE,,,1715-1720,,37,23,gas_olfaction_mapping,"[""robotic_environmental_monitoring"", ""gas_olfaction_mapping"", ""outdoor_navigation_fusion""]",False,False,False,metadata_candidate,robotic_environmental_monitoring;gas_olfaction_mapping;outdoor_navigation_fusion,"[""robot"", ""env"", ""gas"", ""nav"", ""outdoor""]",1,"[{""query_id"": ""Q03"", ""query_rank"": 101, ""api_score"": 24.371527, ""raw_file"": ""raw_crossref\\Q03_robotic_gas_mapping.json"", ""raw_item_index"": 100}, {""query_id"": ""Q08"", ""query_rank"": 28, ""api_score"": 29.304178, ""raw_file"": ""raw_crossref\\Q08_outdoor_mapping_fusion.json"", ""raw_item_index"": 27}]"
14,10.1109/access.2023.3238470,https://doi.org/10.1109/access.2023.3238470,Integration of Bayesian Inference and Anemotaxis for Robotics Gas Source Localization in a Large Cluttered Outdoor Environment,Yaqub A. Prabowo; Bambang R. Trilaksono; Egi M. I. Hidayat; Brian Yuliarto,2023,IEEE Access,journal-article,Institute of Electrical and Electronics Engineers (IEEE),11,,22705-22713,,16,23,gas_olfaction_mapping,"[""robotic_environmental_monitoring"", ""gas_olfaction_mapping"", ""outdoor_navigation_fusion""]",False,False,False,metadata_candidate,robotic_environmental_monitoring;gas_olfaction_mapping;outdoor_navigation_fusion,"[""robot"", ""env"", ""gas"", ""nav"", ""outdoor""]",1,"[{""query_id"": ""Q03"", ""query_rank"": 331, ""api_score"": 21.855581, ""raw_file"": ""raw_crossref\\Q03_robotic_gas_mapping.json"", ""raw_item_index"": 330}]"
15,10.1016/b978-0-323-85769-7.00004-5,https://doi.org/10.1016/b978-0-323-85769-7.00004-5,Mobile robot for air quality monitoring of landfilling sites using Internet of Things,Rajesh Singh; Anita Gehlot; Shaik Vaseem Akram; Prabin Kumar Das; Sushabhan Choudhury,2021,Cognitive Computing for Human-Robot Interaction,book-chapter,Elsevier,,,311-325,,0,23,particulate_air_quality,"[""robotic_environmental_monitoring"", ""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,robotic_environmental_monitoring;particulate_air_quality;embedded_environmental_sensing,"[""robot"", ""env"", ""air"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q01"", ""query_rank"": 82, ""api_score"": 19.610159, ""raw_file"": ""raw_crossref\\Q01_mobile_robot_environment.json"", ""raw_item_index"": 81}]"
16,10.22533/at.ed.3172115109,https://doi.org/10.22533/at.ed.3172115109,Water Quality Monitoring through Arduino Robotic Sensors,Lorenzo Domarco Silva; Christiane M. Schweitzer; Elerson Gaetti Jardim Júnior,2021,Journal of Engineering Research,journal-article,Atena Editora,1,1,2-24,,0,23,water_quality_monitoring,"[""robotic_environmental_monitoring"", ""water_quality_monitoring"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,robotic_environmental_monitoring;water_quality_monitoring;embedded_environmental_sensing,"[""robot"", ""env"", ""water"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q06"", ""query_rank"": 61, ""api_score"": 22.965128, ""raw_file"": ""raw_crossref\\Q06_robotic_water_quality.json"", ""raw_item_index"": 60}]"
17,10.1088/1361-6501/ae6298,https://doi.org/10.1088/1361-6501/ae6298,Calibration strategies and measurement frameworks for low-cost particulate matter sensors: a comprehensive review,Zikang Feng; Lina Zheng; Yingshuo Zhu,2026,Measurement Science and Technology,journal-article,IOP Publishing,37,20,202001,,2,22,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",True,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded"", ""review""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 54, ""api_score"": 29.932194, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 53}]"
18,10.1017/s0263574708004694,https://doi.org/10.1017/s0263574708004694,Gas distribution mapping of multiple odour sources using a mobile robot,Amy Loutfi; Silvia Coradeschi; Achim J. Lilienthal; Javier Gonzalez,2009,Robotica,journal-article,Cambridge University Press (CUP),27,2,311-319,,66,22,gas_olfaction_mapping,"[""robotic_environmental_monitoring"", ""gas_olfaction_mapping"", ""outdoor_navigation_fusion""]",False,False,True,metadata_candidate,robotic_environmental_monitoring;gas_olfaction_mapping;outdoor_navigation_fusion,"[""robot"", ""env"", ""gas"", ""nav""]",1,"[{""query_id"": ""Q03"", ""query_rank"": 255, ""api_score"": 22.53933, ""raw_file"": ""raw_crossref\\Q03_robotic_gas_mapping.json"", ""raw_item_index"": 254}]"
19,10.3390/s21123960,https://doi.org/10.3390/s21123960,Calibration Method for Particulate Matter Low-Cost Sensors Used in Ambient Air Quality Monitoring and Research,Janani Venkatraman Jagatha; André Klausnitzer; Miriam Chacón-Mateos; Bernd Laquai; Evert Nieuwkoop; Peter van der Mark; Ulrich Vogt; Christoph Schneider,2021,Sensors,journal-article,MDPI AG,21,12,3960,,60,22,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 114, ""api_score"": 27.369225, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 113}]"
20,10.3390/s21186162,https://doi.org/10.3390/s21186162,Practical Particulate Matter Sensing and Accurate Calibration System Using Low-Cost Commercial Sensors,Hyuntae Cho; Yunju Baek,2021,Sensors,journal-article,MDPI AG,21,18,6162,,16,22,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 18, ""api_score"": 34.62316, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 17}]"
21,10.3390/mi14081578,https://doi.org/10.3390/mi14081578,Three-Dimensional Printed Biomimetic Robotic Fish for Dynamic Monitoring of Water Quality in Aquaculture,Xiaojun Chen; Dejin Li; Deyun Mo; Zaifu Cui; Xin Li; Haishan Lian; Manfeng Gong,2023,Micromachines,journal-article,MDPI AG,14,8,1578,,13,22,robotic_sampling,"[""robotic_environmental_monitoring"", ""water_quality_monitoring"", ""robotic_sampling"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,robotic_environmental_monitoring;water_quality_monitoring;robotic_sampling;embedded_environmental_sensing,"[""robot"", ""env"", ""water"", ""sensor""]",1,"[{""query_id"": ""Q06"", ""query_rank"": 160, ""api_score"": 21.079634, ""raw_file"": ""raw_crossref\\Q06_robotic_water_quality.json"", ""raw_item_index"": 159}]"
22,10.21175/rad.abstr.book.2026.12.3,https://doi.org/10.21175/rad.abstr.book.2026.12.3,Enhancing low-cost air quality monitoring using LSTM networks for in-field sensor calibration,,2026,Book of Abstracts - RAD 2026 Conference,book-chapter,"RAD Centre, Niš, Serbia",,,,,0,22,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 118, ""api_score"": 27.286854, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 117}, {""query_id"": ""Q05"", ""query_rank"": 365, ""api_score"": 21.257545, ""raw_file"": ""raw_crossref\\Q05_gas_sensor_calibration.json"", ""raw_item_index"": 364}]"
23,10.1021/acssensors.4c03293,https://doi.org/10.1021/acssensors.4c03293,"Low-Cost Particulate Matter Mass Sensors: Review of the Status, Challenges, and Opportunities for Single-Instrument and Network Calibration",Jingzhuo Zhang; Li Bai; Na Li; Yu Wang; Yibing Lv; Yaolong Shi; Chao Yang; Chi Xu,2025,ACS Sensors,journal-article,American Chemical Society (ACS),10,5,3207-3221,,7,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",True,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded"", ""review""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 139, ""api_score"": 26.291414, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 138}]"
24,10.1039/d5ay01554e,https://doi.org/10.1039/d5ay01554e,Analytical performance and calibration strategies of low-cost particulate matter sensors for indoor and workplace monitoring—a review,Zikang Feng; Lina Zheng; Dou Liu,2026,Analytical Methods,journal-article,Royal Society of Chemistry (RSC),18,1,39-52,,3,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",True,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded"", ""review""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 56, ""api_score"": 29.742523, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 55}]"
25,10.1016/j.envpol.2016.12.039,https://doi.org/10.1016/j.envpol.2016.12.039,Ambient and laboratory evaluation of a low-cost particulate matter sensor,K.E. Kelly; J. Whitaker; A. Petty; C. Widmer; A. Dybwad; D. Sleeth; R. Martin; A. Butterfield,2017,Environmental Pollution,journal-article,Elsevier BV,221,,491-500,,401,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 94, ""api_score"": 28.000645, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 93}]"
26,10.1080/02786826.2015.1100710,https://doi.org/10.1080/02786826.2015.1100710,Laboratory Evaluation and Calibration of Three Low-Cost Particle Sensors for Particulate Matter Measurement,Yang Wang; Jiayu Li; He Jing; Qiang Zhang; Jingkun Jiang; Pratim Biswas,2015,Aerosol Science and Technology,journal-article,Informa UK Limited,49,11,1063-1077,,386,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 104, ""api_score"": 27.43793, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 103}]"
27,10.1016/j.jaerosci.2021.105833,https://doi.org/10.1016/j.jaerosci.2021.105833,From low-cost sensors to high-quality data: A summary of challenges and best practices for effectively calibrating low-cost particulate matter mass sensors,Michael R. Giordano; Carl Malings; Spyros N. Pandis; Albert A. Presto; V.F. McNeill; Daniel M. Westervelt; Matthias Beekmann; R. Subramanian,2021,Journal of Aerosol Science,journal-article,Elsevier BV,158,,105833,105833,343,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 348, ""api_score"": 22.544703, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 347}]"
28,10.5194/amt-11-4823-2018,https://doi.org/10.5194/amt-11-4823-2018,Field evaluation of low-cost particulate matter sensors in high- and low-concentration environments,Tongshu Zheng; Michael H. Bergin; Karoline K. Johnson; Sachchida N. Tripathi; Shilpa Shirodkar; Matthew S. Landis; Ronak Sutaria; David E. Carlson,2018,Atmospheric Measurement Techniques,journal-article,Copernicus GmbH,11,8,4823-4846,,323,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",2,"[{""query_id"": ""Q04"", ""query_rank"": 435, ""api_score"": 21.910267, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 434}]"
29,10.1016/j.envpol.2018.11.065,https://doi.org/10.1016/j.envpol.2018.11.065,Long-term field evaluation of the Plantower PMS low-cost particulate matter sensors,T. Sayahi; A. Butterfield; K.E. Kelly,2019,Environmental Pollution,journal-article,Elsevier BV,245,,932-940,,312,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 202, ""api_score"": 24.7299, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 201}]"
30,10.1021/acs.est.8b05174,https://doi.org/10.1021/acs.est.8b05174,Field and Laboratory Evaluations of the Low-Cost Plantower Particulate Matter Sensor,Misti Levy Zamora; Fulizi Xiong; Drew Gentner; Branko Kerkez; Joseph Kohrman-Glaser; Kirsten Koehler,2018,Environmental Science & Technology,journal-article,American Chemical Society (ACS),53,2,838-849,,201,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 133, ""api_score"": 26.746548, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 132}]"
31,10.5194/amt-13-2413-2020,https://doi.org/10.5194/amt-13-2413-2020,Laboratory evaluation of particle-size selectivity of optical low-cost particulate matter sensors,Joel Kuula; Timo Mäkelä; Minna Aurela; Kimmo Teinilä; Samu Varjonen; Óscar González; Hilkka Timonen,2020,Atmospheric Measurement Techniques,journal-article,Copernicus GmbH,13,5,2413-2423,,155,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",2,"[{""query_id"": ""Q04"", ""query_rank"": 433, ""api_score"": 21.934155, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 432}]"
32,10.1016/j.envint.2019.105329,https://doi.org/10.1016/j.envint.2019.105329,Calibration of low-cost particulate matter sensors: Model development for a multi-city epidemiological study,Marina Zusman; Cooper S. Schumacher; Amanda J. Gassett; Elizabeth W. Spalt; Elena Austin; Timothy V. Larson; Graeme Carvlin; Edmund Seto; Joel D. Kaufman; Lianne Sheppard,2020,Environment International,journal-article,Elsevier BV,134,,105329,105329,149,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 149, ""api_score"": 25.756575, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 148}]"
33,10.1371/journal.pone.0137789,https://doi.org/10.1371/journal.pone.0137789,Laboratory Evaluation of the Shinyei PPD42NS Low-Cost Particulate Matter Sensor,Elena Austin; Igor Novosselov; Edmund Seto; Michael G. Yost,2015,PLOS ONE,journal-article,Public Library of Science (PLoS),10,9,e0137789,,88,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 51, ""api_score"": 30.157524, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 50}]"
34,10.1007/s42452-019-0630-1,https://doi.org/10.1007/s42452-019-0630-1,Regression methods in the calibration of low-cost sensors for ambient particulate matter measurements,Marek Badura; Piotr Batog; Anetta Drzeniecka-Osiadacz; Piotr Modzel,2019,SN Applied Sciences,journal-article,Springer Science and Business Media LLC,1,6,,622,85,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 57, ""api_score"": 29.739449, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 56}]"
35,10.1016/j.envpol.2019.113131,https://doi.org/10.1016/j.envpol.2019.113131,Development of a calibration chamber to evaluate the performance of low-cost particulate matter sensors,T. Sayahi; D. Kaufman; T. Becnel; K. Kaur; A.E. Butterfield; S. Collingwood; Y. Zhang; P.-E. Gaillardon; K.E. Kelly,2019,Environmental Pollution,journal-article,Elsevier BV,255,,113131,113131,82,21,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 111, ""api_score"": 27.387653, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 110}]"
